username,handle,tweet_text,time
Gregory Iversen,@marsiversen,The sign says it all folks. Come into your #favorite #ColoradoSprings #HomeDepot to get a jump start on your new fence and choose a stain or sealant for a longer life. @THDAbbySmith @JohnSharp1518 @ThePacMan1541 @kylerey81 @SteveCronin12 @AndyDHRM @PabstBen,2020-02-13T03:29:00.000Z
Adam  Donnelly,@AdamDonnelly7,Congrats to Joan in flooring celebrating 12 years with #homedepot #letusdoitforyou #D1MakingaDifference,2020-02-12T03:16:08.000Z
Gregory Iversen,@marsiversen,The sign says it all folks. Come into your #favorite #ColoradoSprings #HomeDepot to get a jump start on your new fence and choose a stain or sealant for a longer life. @THDAbbySmith @JohnSharp1518 @ThePacMan1541 @kylerey81 @SteveCronin12 @AndyDHRM @PabstBen,2020-02-13T03:29:00.000Z
Faith,@THD_Faith_HDE,"If you want to get your new windows for spring, now is the time to buy! See Steve K at the Ocean City, MD store! He’s ready to help! #oceancityMD #HOMEDEPOT @HDEPhiily @PaulGinnetti @MYoungsonDSM @b_mungul @KendraByrd24 @hdericmacdonald",2020-02-15T15:16:23.000Z
Kristyna Dark,@KristynaDark,I figured as much since they treat their customers like garbage.  I did a whole house remodel when I was back east this past summer and ALL my business went to #homedepot .,2020-02-14T04:39:36.000Z
Michael Gonzalez,@Saint_Michae1,This guy just stole a cart full of tools and is running across the parking lot  #thursdaymorning #ThursdayMotivation #homedepot #dedication #crimethursday,2020-02-13T12:56:22.000Z
TuffShedParker,@TuffShedParker,Attention @HomeDepot118! I will be at your store tomorrow morning from 10 am-2 pm for a table event. Let’s push some leads and drive some sales! Look forward to seeing all of you! #HomeDepot #TuffShed,2020-02-15T01:12:33.000Z
TuffShedParker,@TuffShedParker,Attention @HomeDepot118! I will be at your store tomorrow morning from 10 am-2 pm for a table event. Let’s push some leads and drive some sales! Look forward to seeing all of you! #HomeDepot #TuffShed,2020-02-15T01:12:33.000Z
Lynn Dicus,@LynnDicus,This refresh looks amazing!  #receivingstandards #homedepot,2020-02-14T01:39:49.000Z
Eddie,@OnYourTurntable,"what shade is your lip'tick, did you get it  #HOMEDEPOT",2020-02-14T03:59:48.000Z
Eddie,@OnYourTurntable,"what shade is your lip'tick, did you get it  #HOMEDEPOT",2020-02-14T03:59:48.000Z
v i k k i,@AugustAloha,Oddly Satisfying? I think so!! I’ve been working on something for a pal in another department... can you guess??? #oddlysatisfying #homedepot,2020-02-15T00:07:03.000Z
Alisha Moran,@Alisha_Moran15,13 years with #HomeDepot and a Gold Award !!!  Way to go @shelli_d !!!! @DHRMgregorio @MattKeatinghd @DanielleIrwin87,2020-02-11T22:43:35.000Z
Blue Musky,@BlueMusky,"The Left thinks 1 + 1 = 7: #HomeDepot ""Co-Founder #BernieMarcus Points Out Major Flaw In Democrats' Plan To Tax The Rich"" (VIDEO)~>",2020-02-13T22:10:48.000Z
Lettuce Pray,@TheSaladGod_,#RT if this was part of your childhood. Shout out #HomeDepot,2020-02-12T00:04:34.000Z
MarketScreener Technical Alerts,@MrktScreener_TA,"The Home Depot, Inc.: The stock is testing its highs. #HomeDepot #MarketScreener https://marketscreener.com//THE-HOME-DEPOT-INC-4826/…",2020-02-14T17:13:41.000Z
Edward Cloutier,@EdwardCloutier3,#homedepot @HomeDepot 868 credit cards for the year!!  #store6357,2020-02-09T21:55:41.000Z
Jeffrey Court HD,@JeffreyCourtHD,"We are breaking the rules and diving right in, to our next challenge. We're kicking off our first-ever Mood Board Challenge March 2nd so don't miss your chance to win BIG! Get all the details now https://soo.nr/w9l6 #moodboardchallenge #homedepot #JeffreyCourtChallenge",2020-02-12T23:01:50.000Z
MVanauken,@VanaukenMa,Protect your floors from the New England weather with ramboard. Come visit us at Home Depot Londonderry. Nh today....#ramboard#wildweatherdefense#homedepot,2020-02-11T14:54:06.000Z
Michele,@Michele70352520,Who else has had nothing but problems getting new flooring installed from Home Depot? #Homedepot,2020-02-12T19:45:56.000Z
Alisha Moran,@Alisha_Moran15,13 years with #HomeDepot and a Gold Award !!!  Way to go @shelli_d !!!! @DHRMgregorio @MattKeatinghd @DanielleIrwin87,2020-02-11T22:43:35.000Z
Blue Musky,@BlueMusky,"The Left thinks 1 + 1 = 7: #HomeDepot ""Co-Founder #BernieMarcus Points Out Major Flaw In Democrats' Plan To Tax The Rich"" (VIDEO)~>",2020-02-13T22:10:48.000Z
Lettuce Pray,@TheSaladGod_,#RT if this was part of your childhood. Shout out #HomeDepot,2020-02-12T00:04:34.000Z
Lettuce Pray,@TheSaladGod_,#RT if this was part of your childhood. Shout out #HomeDepot,2020-02-12T00:04:34.000Z
