username,handle,tweet_text,time
Drew Scarano,@DAScarano,How about Delta CEO asked passengers of seat room is sufficient?? #deltaairlines,2020-02-15T13:43:50.000Z
String Knife Paper,@SKPguy,#WIWTARCHIVE #Cayman #DeltaAirlines #BritishAirways #Evacuation #HurricaneGustav #Mauritius #Atlanta - Blown Away - One sensible route https://alanpmills.wordpress.com/2017/04/05/blown-away-one-sensible-route/… via @wordpressdotcom,2020-02-15T06:34:09.000Z
Rebecca Watson,@Rebecca19496635,"That's nice an all, but it don't think it covers up the fact you dumped Jet fuel all over a densely populated city of Cudahy. @Delta #DeltaAirlines #JetFuel",2020-02-12T16:28:51.000Z
Phys.org Space News,@physorg_space,#DeltaAirLines to invest $1 bn to reduce emissions,2020-02-14T18:59:05.000Z
Flight Patroller,@FlightPatroller,Attention all Delta Air Lines passengers. Were you on flight DL9458 on 8th February 2020 from Hannover Airport to Amsterdam Airport Schiphol? Dont delay make them pay! #flightdelay #compensation #DeltaAirLines,2020-02-10T15:31:38.000Z
Tickeron,@Tickeron,"$DAL enters an Uptrend as Momentum Indicator exceeded the 0 level on February 10, 2020. View odds for this and other indicators: https://tickeron.com/go/1248036 #DeltaAirLines #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",2020-02-15T12:52:07.000Z
AdeleBW,@adelebw,Why doesn’t #DeltaCEO make economy seat rows wider instead of packing people in like sardines and making it THEIR responsibility to keep #deltaairlines customers comfortable?!,2020-02-15T00:26:04.000Z
"Ready When You Are, Life!",@buzzydoo,"Ends Tomorrow! Don't Miss Out!#Antique #Delta #DeltaAirlines #ORIGINAL #1970s #Laycox #Chicago 22"" x 28"" #Travel #TravelPoster #Poster #DFW #AviationHistory #Aviationhttps://ebay.us/Tt5Gbz via @eBay",2020-02-15T15:46:33.000Z
Drew Scarano,@DAScarano,How about Delta CEO asked passengers of seat room is sufficient?? #deltaairlines,2020-02-15T13:43:50.000Z
String Knife Paper,@SKPguy,#WIWTARCHIVE #Cayman #DeltaAirlines #BritishAirways #Evacuation #HurricaneGustav #Mauritius #Atlanta - Blown Away - One sensible route https://alanpmills.wordpress.com/2017/04/05/blown-away-one-sensible-route/… via @wordpressdotcom,2020-02-15T06:34:09.000Z
Rebecca Watson,@Rebecca19496635,"That's nice an all, but it don't think it covers up the fact you dumped Jet fuel all over a densely populated city of Cudahy. @Delta #DeltaAirlines #JetFuel",2020-02-12T16:28:51.000Z
Phys.org Space News,@physorg_space,#DeltaAirLines to invest $1 bn to reduce emissions,2020-02-14T18:59:05.000Z
